-1,+1.05572E-10
-0.95,+1.06221E-10
-0.9,+1.05931E-10
-0.85,+1.05245E-10
-0.8,+1.05525E-10
-0.75,+1.05762E-10
-0.7,+1.05138E-10
-0.65,+1.04558E-10
-0.6,+1.04736E-10
-0.55,+1.05179E-10
-0.5,+1.05375E-10
-0.45,+1.05228E-10
-0.4,+1.04913E-10
-0.35,+1.04415E-10
-0.3,+1.04278E-10
-0.25,+1.04233E-10
-0.2,+1.04145E-10
-0.15,+1.04096E-10
-0.1,+1.04233E-10
-0.0499999999999999,+1.04576E-10
0,+1.05006E-10
0.05,+1.05353E-10
0.1,+1.05064E-10
0.15,+1.04492E-10
0.2,+1.04545E-10
0.25,+1.05444E-10
0.3,+1.04758E-10
0.35,+1.04889E-10
0.4,+1.05331E-10
0.45,+1.05062E-10
0.5,+1.05712E-10
0.55,+1.05920E-10
0.6,+1.06351E-10
0.65,+1.06655E-10
0.7,+1.07163E-10
0.75,+1.07444E-10
0.8,+1.07905E-10
0.85,+1.07711E-10
0.9,+1.08713E-10
0.95,+1.08150E-10
1,+1.09062E-10
1.05,+1.08811E-10
1.1,+1.08741E-10
1.15,+1.09694E-10
1.2,+1.08884E-10
1.25,+1.09600E-10
1.3,+1.09984E-10
1.35,+1.09024E-10
1.4,+1.09134E-10
1.45,+1.09882E-10
1.5,+1.09741E-10
1.55,+1.08940E-10
1.6,+1.09064E-10
1.65,+1.09987E-10
1.7,+1.10678E-10
1.75,+1.10998E-10
1.8,+1.11726E-10
1.85,+1.12878E-10
1.9,+1.14961E-10
1.95,+1.17780E-10
2,+1.21983E-10
2.05,+1.26735E-10
2.1,+1.32337E-10
2.15,+1.38539E-10
2.2,+1.44674E-10
2.25,+1.49956E-10
2.3,+1.54391E-10
2.35,+1.58588E-10
2.4,+1.62419E-10
2.45,+1.65854E-10
2.5,+1.69108E-10
2.55,+1.71564E-10
2.6,+1.73617E-10
2.65,+1.76023E-10
2.7,+1.78956E-10
2.75,+1.81420E-10
2.8,+1.83316E-10
2.85,+1.84667E-10
2.9,+1.87141E-10
2.95,+1.88934E-10
3,+1.89772E-10
